,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,ENI,KL
52,1993.0,123,0.0197671223512854,0.0315321090569866,0.109810123662045,0.0656898717291455,0.1047313476857146,0.0792778819235424,0.0323516863203764,0.0683722421388004,0.0215574698271,0.0204800173488017,0.0346256803726622,0.0478702145982413,0.0996510474188483,0.0334737673654943,0.0537059496134677,0.0664273071255218,0.0324777617674854,0.0340519497120355,0.0388151294102311,0.0053313205722124,7.086525738690403,0.015051646366152777
53,1994.0,127,0.0214812868861712,0.0318293575171795,0.1148965787478052,0.0587584593356236,0.0884186142074177,0.0787142941828407,0.0635156078838256,0.0664245984862031,0.037812946387705,0.0197575308142589,0.0456999965308102,0.0457146199718643,0.0651200196938964,0.041916634956192,0.072181859991877,0.065534920580853,0.0225591612772688,0.0151895006128435,0.0423501700556534,0.0021238418797092,7.139616969127405,0.04067843468907956
54,1995.0,134,0.0206557623500516,0.0382426659373643,0.1176501289560269,0.0601917458736427,0.0940099681645825,0.0790962008004679,0.0462536327160653,0.0652120388578998,0.0188779406323199,0.0208425332832491,0.0348844218859971,0.0496129062526939,0.0976990747154351,0.0387765146899727,0.0640834883297882,0.0725042558274863,0.0227912468745812,0.0186778766837862,0.0358856857013591,0.0040519114672285,7.025344975164474,0.02044657834956605
55,1996.0,154,0.0239620945538554,0.039512128132483,0.1166724117962718,0.0623005784219669,0.0870882884736888,0.0754918002583355,0.0524993395991719,0.0689006298665563,0.0240914831173951,0.01841496138963,0.0456748814335606,0.0486594323134763,0.0750833341897508,0.0475827451027943,0.0594894908850108,0.0624153204279597,0.0201976391154654,0.0245514844054058,0.0447446049853544,0.0026673515318656,7.178389281127706,0.010461144460434819
56,1997.0,158,0.0234976020489305,0.0357465712822482,0.1205531485558008,0.0667033846241712,0.0993210847669824,0.0744796322139401,0.0476328562054141,0.0783603014914188,0.0275107561101243,0.018170407566594,0.0345125345533988,0.0438686576637592,0.0741797120529508,0.0372411358370924,0.0553282490975485,0.0748965355094966,0.0190880315267264,0.0264119792257492,0.0386730818633548,0.0038243378042969,7.079330799578184,0.0073519678413817595
57,1998.0,172,0.0221166606335471,0.0395103830928165,0.1112135535834211,0.05658143279043,0.0875839212408366,0.0682114172531783,0.0488344868562824,0.0654025986927535,0.0329768708097073,0.0203710660159819,0.0426858341954419,0.048357070503376,0.0890457020690612,0.0326415420457512,0.0630599395929407,0.065828685554157,0.0164237908511519,0.0341211985248858,0.0449086877645649,0.0101251579297131,7.275093742768762,0.013363734628740326
58,1999.0,205,0.0222680533047982,0.0424578027286451,0.108164849825098,0.0605442711783142,0.0951452190316211,0.0814829396593921,0.0563278499922998,0.066992057838681,0.0245347929340604,0.0168290308908713,0.0375294136078873,0.0480371476980447,0.0775433768671103,0.033534771992555,0.053483315592806,0.0690133821767445,0.0232852726485509,0.0290956015438007,0.04825010363805,0.0054807468506677,7.198568050888287,0.0089153867792035
59,2000.0,173,0.02581508805449,0.0431870706518674,0.1139609475102409,0.0571665470140787,0.0883500803370516,0.0771158562004998,0.0448560310925839,0.0627345303390806,0.0224571563603831,0.0162668468994477,0.0352813668792688,0.0552408748199827,0.0848044338588598,0.0286276522022594,0.0589363815583914,0.0743822511939429,0.0239691505745754,0.0358506837957484,0.0406300264563787,0.0103670242008672,7.2288249050709315,0.007247682898004775
60,2001.0,197,0.0216559441122639,0.0463639401056798,0.1183508267439319,0.0591397427379276,0.0968813354312387,0.0713869450951919,0.0475931719939276,0.0733943827792124,0.0326180978799864,0.0194647575599598,0.0403960920335718,0.0526605892115353,0.0719704768719086,0.0331805847903451,0.0610316971807037,0.0761557831533996,0.0202606963900866,0.0200958810696113,0.0345228627886259,0.0028761920708903,7.106342772928468,0.015006896796995826
61,2002.0,204,0.0257861753198771,0.0521195363464376,0.1124518155858002,0.0511765163517418,0.0911417786118216,0.0739564462931921,0.045258486883013,0.061398083917374,0.0433612560883331,0.0196626089146613,0.0387313039560728,0.0546470837166434,0.0768509275575015,0.0292301789061111,0.0566445137133469,0.07434110336,0.0216735020104193,0.0402628975495937,0.0260712141627571,0.0052345707553007,7.249264851584026,0.014774443681744813
62,2003.0,215,0.0259605254979526,0.0447477452457472,0.1162376727099395,0.0533477068544647,0.0925471749267244,0.0802527974456493,0.0428732033653128,0.0643705868007954,0.0267770644776813,0.0175027762927694,0.0340625851722848,0.0518163140028374,0.0848537705588333,0.0195529313763445,0.0563543255763706,0.0783378443569175,0.022240126698514,0.040166907435355,0.041380354540832,0.0066175866646727,7.14771025857465,0.011539670354121075
63,2004.0,224,0.0209358936052003,0.0573869464656385,0.1126683397856009,0.0469284092046958,0.0855448400849602,0.0776589802634719,0.0516603123778055,0.0670713866972288,0.0376713699093038,0.0197627109267501,0.0452731923063212,0.0572300276222307,0.087292660739365,0.0242225334967188,0.056959294364127,0.073939630276937,0.0210479299090768,0.0237196448741523,0.0264881205040258,0.0065377765863879,7.161873610367343,0.015623358830186385
64,2005.0,271,0.02394792178458,0.0580318771707866,0.1194267566346778,0.0504441846015817,0.0940945129769189,0.0788271947883191,0.0427990325400644,0.0727509098398131,0.0363345347978083,0.0180294676516388,0.0383643811422242,0.0550865760592323,0.061758136998977,0.0238934440237214,0.0545736578463984,0.0754646284647288,0.0221306937763466,0.0310287497890933,0.0367499554501367,0.006263383662951,7.18517795587935,0.009763655023025208
65,2006.0,276,0.0206991863879494,0.0563365208139206,0.1120987249386981,0.0483873840924695,0.086065963325083,0.0669700556823859,0.0450327755880832,0.0693680468412487,0.0466191320872552,0.0215965076100101,0.0475646394197154,0.0476586329545274,0.0694835293885101,0.0292803489988989,0.0618319935150938,0.0727901263760867,0.020495606126509,0.0356108591212009,0.0370195566910127,0.0050904100413396,7.28811494758214,0.007218038992641153
66,2007.0,286,0.0250118239198419,0.0594486267169702,0.1134892326015371,0.0453694483647813,0.0937307746564877,0.0723621723663061,0.0443307054278633,0.0772439244818086,0.0359929145873852,0.0170751654253199,0.0376411669792686,0.0535520437565571,0.0640458141538674,0.0256400149162653,0.0547672752585293,0.0821254411470834,0.0204487380736045,0.0360981521237398,0.0372793977248236,0.0043471673179582,7.182872730546866,0.006391999130896017
67,2008.0,275,0.0246921614987235,0.057687813608184,0.1153896961085316,0.041448876902764,0.0875407634085483,0.0721929522545355,0.0457653780329435,0.0616203792618717,0.0426714931251802,0.0258122235443212,0.0434561699591839,0.0564951274202673,0.050975668558468,0.0261678332305356,0.0684992550091565,0.0813405707717988,0.0182163658475077,0.0338059979645804,0.0331123483114409,0.0131089251814556,7.323131135879388,0.014358438050074548
68,2009.0,307,0.0272041954883222,0.064016043892467,0.1230103641688979,0.0421983283491587,0.0928903453223669,0.0719703925636432,0.0349096747755461,0.0624049918817146,0.0381596626915448,0.0238256135289921,0.031933121041992,0.058281877941815,0.0656484544517965,0.0216152242663993,0.0590109930145461,0.0874276326649078,0.0208561674778154,0.0318346074998551,0.0348277510100496,0.007974557968168,7.173474892198783,0.009041700493290136
