Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
472/0.0027288830729457576,1541/0.002477418421504715,2926/0.0026765936500123062,981/0.0017468475116402082,2893/0.0026575236836307555,2669/0.001888970511071466,2834/0.0021141110545084057,
1903/0.0027288830729457576,602/0.0024728975849691226,1523/0.0026458282057592914,95/0.0017435823761044321,1606/0.0026437541308658294,724/0.001784027704900829,569/0.0020376974019358125,
307/0.0027288830729457576,59/0.0024457725657555675,1102/0.002584297317253261,325/0.0017435823761044321,1388/0.0026299845781009032,1286/0.0016528491971875329,1936/0.001986754966887417,
1888/0.0027129246924022152,2172/0.002441251729219975,1477/0.002584297317253261,145/0.0017207264273539995,49/0.002602445472571051,2040/0.0013511386294469514,2055/0.0019103413143148242,
781/0.0026969663118586724,2195/0.002350834998508124,2423/0.0025535318730002463,356/0.0017174612918182234,2466/0.002602445472571051,2474/0.0011412530171056774,2147/0.0018848700967906266,
2347/0.0026650495507715877,430/0.002332751652365754,1966/0.002492000984494216,952/0.0017174612918182234,953/0.002602445472571051,2950/0.0010756637632490292,2505/0.001706571574121243,
894/0.0026650495507715877,3003/0.0022920641235454208,2012/0.002461235540241201,1406/0.0017076658852108952,1218/0.002588675919806125,2188/0.0010625459124776998,2187/0.0016811003565970453,
2555/0.002633132789684503,1638/0.0022468557581894954,2362/0.0024304700959881863,1671/0.0017076658852108952,1051/0.002561136814276272,1669/0.00104942806170637,1226/0.0016556291390728477,
799/0.0026171744091409606,447/0.002242334921653903,2011/0.0024304700959881863,1500/0.001704400749675119,1228/0.002561136814276272,2871/0.0010363102109350404,1424/0.0016046867040244524,
2844/0.0026171744091409606,146/0.0022378140851183103,2544/0.0024304700959881863,573/0.001701135614139343,1214/0.002478519497686715,2326/0.0007739531955084479,2850/0.0015792154865002547,
904/0.0026171744091409606,593/0.0022332932485827177,118/0.0024150873738616784,27/0.0016946053430677908,364/0.0024509803921568627,1755/0.0007477174939657887,968/0.0015792154865002547,
406/0.0026012160285974178,237/0.0022242515755115325,876/0.002399704651735171,538/0.0016913402075320147,1700/0.0024372108393919366,2491/0.0007477174939657887,3027/0.0015792154865002547,
366/0.0025852576480538754,542/0.00221973073897594,2228/0.002399704651735171,715/0.0016815448009246865,2529/0.0024234412866270105,2506/0.0004722426277678665,2057/0.0014263881813550688,
171/0.0025852576480538754,338/0.002210689065904755,2309/0.0023535564853556486,2875/0.0016782796653889104,745/0.0024234412866270105,8/0.000419771224682548,2986/0.0014263881813550688,
2140/0.002505465745336163,1084/0.002210689065904755,1973/0.0023535564853556486,2339/0.0016717493943173582,1180/0.0024096717338620843,1907/0.00039353552313988875,93/0.0014009169638308711,
