Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
939/0.0034632542850434374,2635/0.005258131830560828,519/0.003867504839722907,2928/0.0047624094682918216,2765/0.0030231309294138707,3015/0.005343293647705756,1855/0.005294361626857296,313/0.0037773984631595814,,173/0.004445921801637096,,,
2042/0.0034339046724583236,996/0.005258131830560828,1512/0.0038461374096691895,2614/0.004755343578872991,1368/0.002976723217778131,1673/0.005291417010349389,742/0.005221167687315491,2091/0.0037773984631595814,,385/0.004425146466115428,,,
415/0.003398685137356187,941/0.0051638155645418,508/0.0038333169516369587,2716/0.004705882352941176,1032/0.0029634638715964915,3020/0.005161725416958473,2223/0.0051967697074682215,2771/0.0037527498598110684,,1015/0.004342045124028753,,,
1494/0.0033341159896689366,1362/0.005045920232018015,184/0.0038333169516369587,428/0.0046846846846846845,2083/0.0029568341985056717,304/0.005161725416958473,1909/0.005147973747773684,943/0.0037404255581368123,,769/0.004342045124028753,,,
1079/0.003322376144634891,2093/0.005022341165513257,740/0.0038162230075939846,457/0.004606959901077548,2768/0.002936945179233212,2477/0.0051357870982802895,1137/0.00505038182838461,202/0.0037281012564625558,,2920/0.004300494452985416,,,
786/0.0033165062221178683,2175/0.0048690772332323365,851/0.003777761633497293,1725/0.004606959901077548,121/0.002936945179233212,1486/0.005109848779602106,2394/0.004928391929148267,1543/0.0037219391056254273,,1156/0.004196617775377072,,,
255/0.003281286687015731,280/0.0048101295669704435,441/0.003777761633497293,715/0.004585762232821056,1360/0.0029170561599607524,933/0.0050579721422457395,2944/0.004928391929148267,343/0.0037034526531140428,,903/0.004134291768812066,,,
2306/0.003263676919464663,1798/0.004786550500465687,2858/0.003773488147486549,3004/0.004578696343402226,1024/0.0028905374675974728,634/0.004876403911498457,1664/0.0048795959694537296,2893/0.0036541554464170176,,2514/0.004030415091203723,,,
2695/0.00325780699694764,762/0.004786550500465687,2290/0.0037521207174328313,2533/0.004543366896308073,1316/0.0028905374675974728,642/0.004850465592820274,1359/0.004782004050064655,322/0.003641831144742761,,1845/0.003968089084638717,,,
1679/0.00325780699694764,1875/0.004762971433960929,9/0.0037521207174328313,904/0.004536301006889242,2681/0.002864018775234193,1950/0.0048245272741420904,2587/0.004757606070217386,2358/0.003641831144742761,,2576/0.0039265384135953795,,,
1345/0.003240197229396572,754/0.004751181900708551,183/0.0037435737454113442,2535/0.00450803744921392,181/0.0028573891021433733,2194/0.004772650636785724,526/0.004708810110522849,1689/0.0036295068430685046,,2197/0.0039265384135953795,,,
1745/0.003240197229396572,1458/0.004727602834203794,927/0.0036880184272716785,1617/0.004465642112700936,1744/0.0028573891021433733,1764/0.004642959043394807,603/0.004708810110522849,2561/0.0036233446922313765,,1544/0.0038849877425520423,,,
565/0.0032167175393284808,1686/0.004727602834203794,2432/0.0036837449412609347,1129/0.004394983218512631,349/0.0028507594290525535,1952/0.004617020724716624,531/0.00468441213067558,1585/0.0035925339380457355,,188/0.0038642124070303735,,,
1979/0.0032049776942944352,609/0.0046097075016800085,982/0.0036666509972179606,2317/0.004331390213743155,2612/0.002824240736689274,686/0.004409514175291157,817/0.0043672383926610875,2063/0.0035925339380457355,,591/0.0038642124070303735,,,
2997/0.0031991077717774125,1506/0.0046097075016800085,1068/0.0036239161371105252,932/0.004288994877230171,1555/0.0028043517174168144,516/0.0043576375379347915,2117/0.004342840412813819,1719/0.0035617231838600944,,2701/0.0038434370715087047,,,
1695/0.0031462784691242075,951/0.004574338901922873,1570/0.003615369165089038,894/0.004288994877230171,1102/0.0028043517174168144,45/0.004305760900578425,2807/0.00431844243296655,140/0.0035493988821858383,,585/0.0038226617359870363,,,
626/0.0031462784691242075,2347/0.004562549368670494,1353/0.0035940017350353202,860/0.0041618088676912204,1194/0.0028043517174168144,1446/0.004305760900578425,1018/0.004245248493424745,668/0.0034015072620947615,,560/0.003698009722857024,,,
2596/0.003111058934022071,931/0.0045507598354181155,579/0.003576907790992346,185/0.004112347641759407,1303/0.002797722044325994,1525/0.0042020076258656915,745/0.004196452533730207,1427/0.003376858658746249,,2604/0.0036772343873353553,,,
1167/0.003105189011505048,865/0.00443286450289433,1429/0.0035640873329601157,2495/0.004098215862921745,410/0.0027778330250535347,1377/0.004098254351152958,844/0.004001268694952058,2033/0.0033706965079091204,,456/0.0036149083807703493,,,
134/0.0030934491664710026,1746/0.0043503377701276805,915/0.003529899444874167,462/0.004069952305246423,574/0.0027778330250535347,3003/0.004020439395118408,2016/0.003928074755410252,1098/0.0033645343570719924,,2343/0.003531807038683675,,,
367/0.0030934491664710026,2144/0.004326758703622924,2200/0.003363233490455169,1375/0.003900370959194489,1587/0.0027380549865086154,728/0.003994501076440225,2995/0.0038060848561739086,2110/0.003346047904560608,,2459/0.003511031703162006,,,
2800/0.003081709321436957,498/0.004291390103865788,2534/0.003363233490455169,2173/0.0038862391803568272,1252/0.0027181659672361556,838/0.003994501076440225,1091/0.00378168687632664,1601/0.0032721020945150696,,2799/0.003448705696597,,,
2905/0.0030523597088518433,1192/0.004291390103865788,360/0.0033461395464121947,1836/0.0038509097332626746,333/0.002704906621054516,3008/0.0038648094830493088,2472/0.00378168687632664,1082/0.0032351291894923005,,2611/0.0034279303610753316,,,
1531/0.0030406198638177977,2006/0.004232442437603895,366/0.0033375925743907076,2853/0.0038155802861685214,243/0.002691647274872876,2885/0.0038388711643711254,1069/0.0037572888964793713,881/0.003216642736980916,,2413/0.0033448290189886567,,,
871/0.0030230100962667294,387/0.0041499157048372455,1503/0.003269216798218811,2193/0.003766119060236707,2903/0.002685017601782056,1774/0.003735117889658392,2297/0.0037572888964793713,401/0.003216642736980916,,230/0.0033032783479453195,,,
1591/0.0030171401737497066,2025/0.0040909680385753525,380/0.003252122854175837,937/0.0037449213919802157,1843/0.002685017601782056,2715/0.0034757347028765593,921/0.003708492936784834,258/0.0032104805861437875,,1951/0.0032825030124236506,,,
1425/0.003005400328715661,2443/0.004079178505322975,524/0.0032093879940684016,2196/0.003716657834304893,2444/0.0026584989094187764,2756/0.0033719814281638265,267/0.003708492936784834,1228/0.0031303726252611213,,1823/0.0032409523413803134,,,
