i_doc,doc,Topic 1,Topic 2
353,sonicboom,0.8333333333333334,0.16666666666666666
354,spidermantheanimatedseries,1.0,0.0
355,arrowverse,1.0,0.0
356,sayonarazetsubousensei,0.8333333333333334,0.16666666666666666
357,thatmitchellandwebblook,1.0,0.0
358,strangerthings,1.0,0.0
359,jem,0.8333333333333334,0.16666666666666666
360,oddsquad,1.0,0.0
361,numb3rs,0.8333333333333334,0.16666666666666666
362,inspectorgadget,0.8333333333333334,0.16666666666666666
363,herculesthelegendaryjourneys,1.0,0.0
364,mylifeasateenagerobot,1.0,0.0
365,nedsdeclassifiedschoolsurvivalguide,1.0,0.0
366,rome,0.8333333333333334,0.16666666666666666
367,kamenriderdecade,1.0,0.0
368,andromeda,1.0,0.0
369,elfenlied,1.0,0.0
370,homeimprovement,0.8333333333333334,0.16666666666666666
371,wakfu,1.0,0.0
372,superfriends,1.0,0.0
373,magilabyrinthofmagic,1.0,0.0
374,kirbyrightbackatya,1.0,0.0
375,durarara,1.0,0.0
376,johnnybravo,1.0,0.0
377,mobilesuitgundamseeddestiny,1.0,0.0
378,drakeandjosh,1.0,0.0
379,thewalkingdead,1.0,0.0
380,terminatorthesarahconnorchronicles,1.0,0.0
381,orangeisthenewblack,0.8333333333333334,0.16666666666666666
382,xmentheanimatedseries,1.0,0.0
383,chowder,1.0,0.0
384,theateam,1.0,0.0
385,digimonfrontier,1.0,0.0
386,hannibal,1.0,0.0
387,bettercallsaul,1.0,0.0
388,kon,1.0,0.0
389,beetlejuice,1.0,0.0
390,stargateuniverse,1.0,0.0
391,houseofmouse,1.0,0.0
392,couragethecowardlydog,1.0,0.0
393,greatteacheronizuka,1.0,0.0
394,ninjago,1.0,0.0
395,toloveru,1.0,0.0
396,ultimatespiderman,1.0,0.0
397,thenanny,1.0,0.0
398,mobilesuitgundamironbloodedorphans,1.0,0.0
399,megasxlr,1.0,0.0
400,kamenriderexaid,1.0,0.0
