Topic 1,Topic 2,Topic 3,Topic 4
393/0.0013259017359491248,601/0.0015319566149886636,994/0.001137079848995796,
196/0.0013259017359491248,376/0.001514448539388793,299/0.001137079848995796,
1992/0.0013259017359491248,108/0.001514448539388793,2161/0.001137079848995796,
2315/0.0013259017359491248,1221/0.001514448539388793,2041/0.001137079848995796,
438/0.0013259017359491248,1082/0.001514448539388793,149/0.001137079848995796,
2180/0.0013136248680236699,152/0.0015056945015888578,1725/0.0011305822498586771,
1686/0.0013136248680236699,1398/0.0015056945015888578,151/0.0011305822498586771,
511/0.0013136248680236699,178/0.0015056945015888578,990/0.0011175870515844396,
215/0.0013136248680236699,330/0.0014969404637889226,2127/0.0011175870515844396,
1664/0.0013136248680236699,1251/0.0014969404637889226,672/0.0011110894524473207,
1549/0.0013136248680236699,202/0.0014794323881890522,1052/0.0011045918533102018,
141/0.0013136248680236699,1475/0.0014794323881890522,11/0.0011045918533102018,
542/0.001301348000098215,1390/0.001470678350389117,2173/0.0011045918533102018,
2672/0.001301348000098215,132/0.001470678350389117,974/0.0011045918533102018,
2519/0.001301348000098215,2264/0.001470678350389117,1102/0.0011045918533102018,
1257/0.001301348000098215,2103/0.0014619243125891818,2695/0.001098094254173083,
1022/0.001301348000098215,738/0.0014619243125891818,1503/0.001098094254173083,
2990/0.001301348000098215,189/0.0014531702747892466,1555/0.0010915966550359643,
1554/0.001301348000098215,1745/0.0014531702747892466,2445/0.0010915966550359643,
416/0.001301348000098215,1263/0.0014444162369893112,649/0.0010915966550359643,
386/0.00128907113217276,1573/0.001435662199189376,2271/0.0010915966550359643,
1140/0.00128907113217276,426/0.001435662199189376,1454/0.0010915966550359643,
2379/0.00128907113217276,2268/0.0014269081613894408,2642/0.0010915966550359643,
1909/0.00128907113217276,1266/0.0014269081613894408,2851/0.0010915966550359643,
867/0.0012767942642473052,28/0.0014269081613894408,861/0.0010850990558988454,
54/0.0012767942642473052,963/0.0014269081613894408,894/0.0010850990558988454,
1879/0.0012767942642473052,1130/0.0014181541235895056,935/0.0010850990558988454,
1858/0.0012767942642473052,1935/0.0014181541235895056,1587/0.0010850990558988454,
533/0.0012645173963218503,268/0.0014181541235895056,179/0.0010850990558988454,
830/0.0012645173963218503,896/0.0014181541235895056,755/0.0010850990558988454,
1160/0.0012645173963218503,2683/0.0014181541235895056,286/0.0010786014567617265,
769/0.0012645173963218503,2972/0.0014094000857895704,1685/0.0010786014567617265,
2313/0.0012645173963218503,2543/0.0014006460479896352,2653/0.0010786014567617265,
2078/0.0012522405283963956,1800/0.0014006460479896352,29/0.0010786014567617265,
1781/0.0012522405283963956,2731/0.0013918920101897,1985/0.0010786014567617265,
336/0.0012522405283963956,2550/0.0013918920101897,2196/0.0010786014567617265,
1401/0.0012522405283963956,2380/0.0013831379723897648,1798/0.0010721038576246076,
2069/0.0012522405283963956,993/0.0013831379723897648,997/0.0010721038576246076,
865/0.0012522405283963956,1098/0.0013743839345898296,2783/0.0010721038576246076,
983/0.0012522405283963956,996/0.0013743839345898296,1216/0.0010721038576246076,
2423/0.0012522405283963956,2539/0.0013743839345898296,2248/0.0010656062584874888,
