i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
126,finalfantasyxv,0.11940298507462686,0.05510907003444317,0.2468427095292767,0.03903559127439724,0.2365097588978186,0.2847301951779564,0.018369690011481057
127,bioshock1,0.19560185185185186,0.016203703703703703,0.1863425925925926,0.24074074074074073,0.09375,0.2361111111111111,0.03125
128,left4dead,0.16435185185185186,0.010416666666666666,0.18287037037037038,0.2673611111111111,0.13078703703703703,0.2048611111111111,0.03935185185185185
129,goldensun,0.10672853828306264,0.06496519721577726,0.3259860788863109,0.025522041763341066,0.3167053364269142,0.1531322505800464,0.0069605568445475635
130,splatoon,0.18699186991869918,0.059233449477351915,0.2497096399535424,0.07665505226480836,0.23344947735191637,0.18118466898954705,0.012775842044134728
131,metalgearrisingrevengeance,0.13953488372093023,0.019767441860465116,0.2186046511627907,0.09186046511627907,0.15813953488372093,0.30348837209302326,0.0686046511627907
132,genshinimpact,0.13317757009345793,0.052570093457943924,0.25817757009345793,0.03154205607476635,0.2885514018691589,0.23014018691588786,0.005841121495327103
133,samuraishodown,0.1308411214953271,0.0455607476635514,0.29789719626168226,0.028037383177570093,0.26401869158878505,0.21261682242990654,0.02102803738317757
134,baldursgate,0.1705607476635514,0.03271028037383177,0.32710280373831774,0.08411214953271028,0.21378504672897197,0.15654205607476634,0.015186915887850467
135,xenobladechroniclesx,0.10470588235294118,0.027058823529411764,0.2811764705882353,0.0811764705882353,0.21411764705882352,0.26941176470588235,0.02235294117647059
136,batmanarkhamknight,0.20141342756183744,0.012956419316843345,0.1413427561837456,0.1071849234393404,0.06831566548881036,0.4075382803297998,0.061248527679623084
137,callofduty,0.1071849234393404,0.01060070671378092,0.16372202591283863,0.2850412249705536,0.1154299175500589,0.232037691401649,0.08598351001177856
138,perfectdark,0.0011792452830188679,0.00589622641509434,0.2134433962264151,0.35141509433962265,0.09080188679245282,0.2617924528301887,0.07547169811320754
139,kingdomheartsi,0.099644128113879,0.11150652431791222,0.2443653618030842,0.0166073546856465,0.269276393831554,0.24673784104389088,0.011862396204033215
140,pokemonredandblue,0.09026128266033254,0.15320665083135393,0.33016627078384797,0.021377672209026127,0.22446555819477435,0.166270783847981,0.014251781472684086
141,xcom2,0.09654350417163289,0.015494636471990465,0.19785458879618595,0.24433849821215733,0.13110846245530394,0.26817640047675806,0.04648390941597139
142,reddeadredemption,0.23832335329341317,0.016766467065868262,0.14491017964071856,0.13293413173652693,0.081437125748503,0.34251497005988024,0.04311377245508982
143,thelegendofzeldaalinktothepast,0.07923169267707082,0.12004801920768307,0.3745498199279712,0.05162064825930372,0.22208883553421369,0.14285714285714285,0.009603841536614645
