Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,946/0.003932176920073624,,329/0.004835859760066958,190/0.00423758740024013,119/0.0033868805419008867,2797/0.003782234957020057,2558/0.005388011674025294,,1207/0.00400941340538656,1709/0.004699616198010496,2847/0.005426190984832301,,277/0.0009789525208027412,1644/0.0036937852063902484,,,,,,,,,,,
,722/0.003932176920073624,,1195/0.004742862456988748,1095/0.004166960943569461,126/0.0033868805419008867,2699/0.0035530085959885388,1194/0.005388011674025294,,1579/0.00400941340538656,2807/0.0046212892613769875,631/0.005383465071565905,,2863/0.0009789525208027412,2125/0.0036937852063902484,,,,,,,,,,,
,241/0.003932176920073624,,521/0.004742862456988748,2870/0.004166960943569461,2348/0.003363360538137686,1013/0.0034383954154727794,2755/0.005350594926289007,,506/0.00400941340538656,2045/0.004386308451476462,1627/0.005383465071565905,,2901/0.0009789525208027412,1556/0.0036937852063902484,,,,,,,,,,,
,2918/0.0038903452507111384,,926/0.004556867850832326,2899/0.004025708030228123,1228/0.003363360538137686,1696/0.0034383954154727794,2931/0.005275761430816433,,1946/0.00400941340538656,49/0.004229654578209446,842/0.0052552873317667165,,35/0.0009789525208027412,2501/0.003509095946070736,,,,,,,,,,,
,507/0.0038903452507111384,,2102/0.004556867850832326,2100/0.003955081573557455,1953/0.0033398405343744854,2420/0.0034383954154727794,1365/0.0051635111876075735,,2126/0.003965832824893227,748/0.004151327641575938,2144/0.0052125614185003204,,528/0.0009789525208027412,2998/0.003509095946070736,,,,,,,,,,,
,700/0.0038903452507111384,,550/0.004556867850832326,2265/0.003955081573557455,1145/0.0033398405343744854,1017/0.003209169054441261,1899/0.0051635111876075735,,726/0.003965832824893227,2297/0.004151327641575938,2066/0.005127109591967528,,1229/0.0009789525208027412,1793/0.003509095946070736,,,,,,,,,,,
,1353/0.003862457471136148,,891/0.00451036919929322,88/0.003955081573557455,177/0.0033163205306112847,2919/0.003209169054441261,2569/0.005088677692134999,,358/0.003965832824893227,1728/0.004151327641575938,1066/0.005041657765434736,,1571/0.0009789525208027412,2498/0.0033244066857512234,,,,,,,,,,,
,1905/0.003862457471136148,,652/0.00451036919929322,1471/0.0038844551168867856,768/0.0033163205306112847,1464/0.002979942693409742,208/0.005088677692134999,,2801/0.003965832824893227,1701/0.004151327641575938,2727/0.005041657765434736,,1563/0.0009789525208027412,2677/0.003232062055591467,,,,,,,,,,,
,2024/0.003862457471136148,,1074/0.0043708732446759045,1093/0.0038844551168867856,557/0.0033163205306112847,2987/0.002979942693409742,1148/0.005088677692134999,,1856/0.0039222522443998955,2562/0.004073000704942429,346/0.00499893185216834,,1618/0.0007342143906020558,2208/0.0031397174254317113,,,,,,,,,,,
,1243/0.003848513581348653,,2680/0.004324374593136799,1603/0.0038844551168867856,1382/0.0033163205306112847,1028/0.002979942693409742,1915/0.005051260944398713,,1822/0.0039222522443998955,1597/0.0039946737683089215,2439/0.00499893185216834,,1604/0.0007342143906020558,743/0.002955028165112199,,,,,,,,,,,
,9/0.0038066819119861677,,455/0.004324374593136799,2723/0.0038844551168867856,465/0.0033163205306112847,2839/0.0027507163323782233,1564/0.0047519269625084185,,2402/0.003791510502919899,2953/0.0037596929584083967,1698/0.00478530228583636,,2976/0.0007342143906020558,2941/0.002585649644473174,,,,,,,,,,,
,68/0.0037787941324111773,,1136/0.0042778759415976935,411/0.0038844551168867856,288/0.003269280523084884,2405/0.0024068767908309455,1349/0.0047519269625084185,,227/0.003791510502919899,732/0.0037596929584083967,1615/0.004742576372569964,,790/0.0007342143906020558,1809/0.0024009603841536613,,,,,,,,,,,
,915/0.003764850242623682,,1653/0.0042778759415976935,2135/0.0038844551168867856,787/0.003269280523084884,2170/0.002292263610315186,1590/0.0047519269625084185,,664/0.003791510502919899,1772/0.0037596929584083967,1362/0.0046143986327707755,,2007/0.0007342143906020558,2429/0.0024009603841536613,,,,,,,,,,,
,604/0.003764850242623682,,2504/0.0042778759415976935,2865/0.0038844551168867856,429/0.003269280523084884,1323/0.002177650429799427,2824/0.004677093467035845,,1622/0.003791510502919899,1710/0.0037596929584083967,167/0.004443494979705191,,999/0.0007342143906020558,2647/0.0024009603841536613,,,,,,,,,,,
