Topic 1,Topic 2,Topic 3,Topic 4
1396/0.002160510091162987,2940/0.0010715613910127516,2961/0.0007692307692307692,
2540/0.002142944968470605,143/0.0010715613910127516,1215/0.000641025641025641,
1531/0.002142944968470605,234/0.0010715613910127516,3011/0.0004487179487179487,
442/0.002142944968470605,1871/0.0010715613910127516,1618/0.00014957264957264957,
197/0.002142944968470605,566/0.0010652580887126767,1928/0.00014957264957264957,
1572/0.002125379845778223,135/0.0010652580887126767,,
1063/0.002125379845778223,829/0.0010589547864126015,,
317/0.002125379845778223,146/0.0010589547864126015,,
2088/0.002125379845778223,1453/0.0010589547864126015,,
939/0.0021078147230858407,2222/0.0010463481818124515,,
182/0.0021078147230858407,1636/0.0010400448795123765,,
2164/0.0020902496003934587,2277/0.0010400448795123765,,
94/0.0020902496003934587,319/0.0010337415772123015,,
2957/0.0020902496003934587,593/0.0010337415772123015,,
1104/0.0020902496003934587,789/0.0010337415772123015,,
462/0.0020726844777010766,2816/0.0010337415772123015,,
1725/0.0020726844777010766,1899/0.0010274382749122265,,
2200/0.0020726844777010766,2512/0.0010274382749122265,,
1752/0.0020551193550086945,163/0.0010274382749122265,,
335/0.0020551193550086945,1554/0.0010211349726121516,,
260/0.002037554232316313,1406/0.0010148316703120766,,
2144/0.002037554232316313,58/0.0010148316703120766,,
441/0.002037554232316313,2263/0.0010148316703120766,,
927/0.002019989109623931,316/0.0010148316703120766,,
1365/0.002019989109623931,718/0.0010148316703120766,,
1254/0.002019989109623931,2016/0.0010085283680120016,,
2946/0.002019989109623931,1522/0.0010085283680120016,,
1539/0.0020024239869315488,1171/0.0010085283680120016,,
2132/0.0020024239869315488,1010/0.0010022250657119264,,
428/0.0019848588642391667,2764/0.0010022250657119264,,
946/0.0019848588642391667,155/0.0010022250657119264,,
2929/0.0019848588642391667,170/0.0010022250657119264,,
700/0.0019848588642391667,225/0.0009959217634118514,,
2281/0.0019848588642391667,1366/0.0009959217634118514,,
1038/0.0019672937415467846,2252/0.0009896184611117764,,
793/0.0019672937415467846,494/0.0009896184611117764,,
2142/0.0019672937415467846,95/0.0009896184611117764,,
1686/0.0019672937415467846,1573/0.0009896184611117764,,
1360/0.0019672937415467846,2579/0.0009896184611117764,,
1705/0.0019672937415467846,2120/0.0009833151588117014,,
72/0.0019497286188544028,602/0.0009833151588117014,,
164/0.0019497286188544028,757/0.0009833151588117014,,
919/0.0019145983734696387,1501/0.0009833151588117014,,
380/0.0019145983734696387,2599/0.0009833151588117014,,
2982/0.0018970332507772566,1385/0.0009770118565116264,,
1887/0.0018970332507772566,237/0.0009770118565116264,,
2248/0.0018970332507772566,1799/0.0009770118565116264,,
2722/0.0018970332507772566,2307/0.0009770118565116264,,
637/0.0018970332507772566,1101/0.0009770118565116264,,
1141/0.0018794681280848748,1119/0.0009770118565116264,,
1961/0.0018794681280848748,2504/0.0009770118565116264,,
941/0.0018794681280848748,214/0.0009770118565116264,,
1844/0.0018619030053924927,1161/0.0009707085542115515,,
1872/0.0018619030053924927,338/0.0009707085542115515,,
2046/0.0018619030053924927,458/0.0009707085542115515,,
1827/0.0018443378827001106,2115/0.0009707085542115515,,
1929/0.0018267727600077286,1197/0.0009644052519114764,,
3/0.0018267727600077286,356/0.0009644052519114764,,
1309/0.0018267727600077286,226/0.0009644052519114764,,
758/0.0018267727600077286,560/0.0009581019496114014,,
2025/0.0018092076373153467,687/0.0009581019496114014,,
1317/0.0018092076373153467,596/0.0009581019496114014,,
693/0.0018092076373153467,1327/0.0009581019496114014,,
2827/0.0018092076373153467,196/0.0009517986473113264,,
2267/0.0018092076373153467,2846/0.0009517986473113264,,
2426/0.0018092076373153467,439/0.0009517986473113264,,
1438/0.0017916425146229647,2749/0.0009517986473113264,,
65/0.0017740773919305826,997/0.0009517986473113264,,
360/0.0017740773919305826,1165/0.0009454953450112514,,
1123/0.0017740773919305826,1790/0.0009454953450112514,,
845/0.0017740773919305826,1602/0.0009454953450112514,,
1117/0.0017565122692382005,296/0.0009454953450112514,,
392/0.0017213820238534366,1270/0.0009391920427111764,,
2960/0.0017213820238534366,2453/0.0009391920427111764,,
2403/0.0017213820238534366,1862/0.0009391920427111764,,
