i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
279,lifeisstrange,0.02736842105263158,0.15157894736842106,0.06947368421052631,0.11368421052631579,0.00631578947368421,0.26526315789473687,0.06947368421052631,0.014736842105263158,0.014736842105263158,0.010526315789473684,0.09052631578947369,0.002105263157894737,0.04842105263157895,0.05052631578947368,0.0,0.01263157894736842,0.014736842105263158,0.031578947368421054,0.00631578947368421
280,asuraswrath,0.049783549783549784,0.045454545454545456,0.04112554112554113,0.06277056277056277,0.032467532467532464,0.20995670995670995,0.11471861471861472,0.08008658008658008,0.05194805194805195,0.047619047619047616,0.08008658008658008,0.006493506493506494,0.07575757575757576,0.008658008658008658,0.010822510822510822,0.008658008658008658,0.025974025974025976,0.030303030303030304,0.017316017316017316
281,paladins,0.057494866529774126,0.049281314168377825,0.08008213552361396,0.07186858316221766,0.049281314168377825,0.1971252566735113,0.06365503080082136,0.06981519507186858,0.057494866529774126,0.045174537987679675,0.08624229979466119,0.002053388090349076,0.055441478439425054,0.01026694045174538,0.008213552361396304,0.014373716632443531,0.030800821355236138,0.04106776180698152,0.01026694045174538
282,spore,0.01939655172413793,0.00646551724137931,0.09267241379310345,0.07327586206896551,0.0625,0.2543103448275862,0.04310344827586207,0.04525862068965517,0.03017241379310345,0.08836206896551724,0.05387931034482758,0.040948275862068964,0.0668103448275862,0.010775862068965518,0.01939655172413793,0.01293103448275862,0.034482758620689655,0.040948275862068964,0.004310344827586207
283,halflife1,0.011135857461024499,0.004454342984409799,0.051224944320712694,0.08463251670378619,0.07126948775055679,0.26948775055679286,0.0467706013363029,0.042316258351893093,0.0066815144766146995,0.0779510022271715,0.07126948775055679,0.022271714922048998,0.0779510022271715,0.024498886414253896,0.008908685968819599,0.022271714922048998,0.015590200445434299,0.08463251670378619,0.0066815144766146995
284,diabloiii,0.02666666666666667,0.03777777777777778,0.10888888888888888,0.08444444444444445,0.06222222222222222,0.18222222222222223,0.07111111111111111,0.08,0.1,0.057777777777777775,0.04666666666666667,0.0022222222222222222,0.05555555555555555,0.0022222222222222222,0.017777777777777778,0.008888888888888889,0.022222222222222223,0.015555555555555555,0.017777777777777778
285,shinmegamitenseiiiinocturne,0.017241379310344827,0.05818965517241379,0.05387931034482758,0.07758620689655173,0.040948275862068964,0.2413793103448276,0.09913793103448276,0.0625,0.07327586206896551,0.04741379310344827,0.04525862068965517,0.010775862068965518,0.10344827586206896,0.01939655172413793,0.0021551724137931034,0.010775862068965518,0.010775862068965518,0.010775862068965518,0.015086206896551725
286,bioshock2,0.010395010395010396,0.06444906444906445,0.058212058212058215,0.12058212058212059,0.04781704781704782,0.2598752598752599,0.079002079002079,0.06860706860706861,0.018711018711018712,0.04158004158004158,0.056133056133056136,0.002079002079002079,0.05197505197505198,0.029106029106029108,0.008316008316008316,0.012474012474012475,0.02286902286902287,0.04573804573804574,0.002079002079002079
287,conkersbadfurday,0.03368421052631579,0.04842105263157895,0.08,0.04842105263157895,0.02526315789473684,0.2336842105263158,0.04,0.02526315789473684,0.00631578947368421,0.04421052631578947,0.12,0.002105263157894737,0.07368421052631578,0.031578947368421054,0.035789473684210524,0.021052631578947368,0.08210526315789474,0.042105263157894736,0.00631578947368421
288,darksoulsiii,0.02666666666666667,0.03333333333333333,0.08,0.09111111111111111,0.07111111111111111,0.24888888888888888,0.06444444444444444,0.08,0.07777777777777778,0.06,0.03777777777777778,0.0,0.06666666666666667,0.0044444444444444444,0.015555555555555555,0.008888888888888889,0.006666666666666667,0.006666666666666667,0.02
