Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1446/0.008215019198142692,1699/0.0040778876541951265,2328/0.00542183937167469,2200/0.0053285968028419185,1482/0.00829351843504913,1880/0.004866341140445253,1642/0.006783237865541152,608/0.009095043201455207,1940/0.008371909780360485,71/0.007570543702684102,1583/0.005805515239477504,,1075/0.0090108435575014,660/0.006613296206056387,,,2101/0.007335308224009028,298/0.008011145942180425,
833/0.008125725511206357,619/0.0040778876541951265,1362/0.0053204965796807705,523/0.00515530910193649,1667/0.008203371495537726,38/0.00484978895969544,139/0.006532006833484072,2505/0.009030078607159098,1856/0.008371909780360485,1138/0.007570543702684102,163/0.005758696568191395,,448/0.008909026116173701,743/0.0064392620953706925,,,1514/0.007335308224009028,737/0.007895042377800999,
1372/0.008036431824270024,1661/0.0040778876541951265,422/0.005269825183683811,306/0.00515530910193649,2511/0.008113224556026323,168/0.00484978895969544,1817/0.006481760627072656,1708/0.008835184824270773,2537/0.008174923667881414,2601/0.007484514796971782,1276/0.005711877896905286,,2053/0.008858117395509851,1277/0.0064392620953706925,,,3/0.006912117364931584,1474/0.007662835249042145,
1456/0.008036431824270024,325/0.004026914058517688,2265/0.005269825183683811,437/0.005068665251483776,914/0.008023077616514919,671/0.004833236778945626,2125/0.00643151442066124,1210/0.008770220229974663,156/0.008076430611641879,2138/0.007140399174122505,2216/0.005665059225619177,,387/0.008552665071526752,2181/0.006265227984684998,,,1476/0.006771053745239103,2478/0.007662835249042145,
83/0.008036431824270024,1089/0.003975940462840249,1020/0.0052191537876868505,199/0.0050253433262574185,1999/0.008023077616514919,315/0.004816684598195812,717/0.006280775801426992,1082/0.008770220229974663,1904/0.007977937555402345,307/0.007140399174122505,1483/0.005665059225619177,,1034/0.008399938909535203,2250/0.006265227984684998,,,616/0.006771053745239103,1995/0.0073145245559038665,
1441/0.0077685507634610235,1848/0.003975940462840249,1861/0.005067139599695972,189/0.0050253433262574185,673/0.007842783737492112,1815/0.004800132417445998,1837/0.006280775801426992,2302/0.008705255635678555,2267/0.007583965330444204,951/0.006968341362697867,633/0.005618240554333068,,1183/0.008349030188871353,2082/0.0060911938739993034,,,1287/0.006771053745239103,1300/0.006734006734006734,
2566/0.0076792570765246895,859/0.003975940462840249,1391/0.005067139599695972,1558/0.0050253433262574185,1418/0.007842783737492112,1762/0.004800132417445998,166/0.006280775801426992,155/0.00844539725849412,1128/0.0074854722742046685,2044/0.006968341362697867,311/0.005618240554333068,,290/0.008298121468207504,993/0.0060911938739993034,,,1845/0.006771053745239103,1987/0.0066179031696273075,
1361/0.0076792570765246895,2438/0.003975940462840249,2142/0.005067139599695972,1876/0.004982021401031062,1949/0.0074821959794464975,1548/0.004783580236696184,1808/0.006230529595015576,822/0.00844539725849412,1829/0.007386979217965133,2424/0.006882312456985547,1351/0.005571421883046959,,701/0.008298121468207504,1738/0.0060911938739993034,,,1153/0.006629990125546621,955/0.006385696040868455,
2233/0.0076792570765246895,1569/0.00392496686716281,481/0.005016468203699012,678/0.004982021401031062,727/0.007211755160912287,985/0.004767028055946371,2468/0.006230529595015576,2561/0.00799064509842136,28/0.0072884861617255985,1670/0.006710254645560908,1618/0.005571421883046959,,895/0.008196304026879804,2454/0.0060911938739993034,,,2213/0.006629990125546621,2418/0.005689074654591896,
2316/0.0076792570765246895,1389/0.00392496686716281,2032/0.005016468203699012,1807/0.004895377550578348,1741/0.007211755160912287,486/0.004750475875196557,334/0.006230529595015576,1161/0.007730786721236926,2002/0.0070915000492465284,1028/0.00653819683413627,317/0.005571421883046959,,857/0.008145395306215955,1344/0.0060911938739993034,,,2245/0.006629990125546621,753/0.00557297109021247,
