Topic 1,Topic 2,Topic 3,Topic 4
1306/0.0016636903399117786,466/0.001174918728781184,2464/0.00231730530497393,
87/0.0016636903399117786,701/0.001174918728781184,372/0.00231730530497393,
1764/0.0016636903399117786,2323/0.001174918728781184,1036/0.0023007531242241167,
1771/0.0016484271257841477,290/0.001174918728781184,37/0.0023007531242241167,
1007/0.0016484271257841477,509/0.001174918728781184,956/0.0023007531242241167,
2440/0.0016484271257841477,421/0.001174918728781184,1224/0.0022676487627244887,
119/0.0016484271257841477,246/0.0011677106384205633,382/0.0022510965819746752,
2214/0.0016484271257841477,583/0.0011605025480599426,1527/0.0022510965819746752,
1720/0.0016331639116565165,895/0.0011605025480599426,2207/0.0022510965819746752,
2268/0.0016331639116565165,79/0.0011605025480599426,24/0.00218488785897542,
1923/0.0016331639116565165,302/0.0011605025480599426,1963/0.0021683356782256063,
1706/0.0016331639116565165,857/0.0011532944576993218,1647/0.002135231316725979,
2542/0.0016179006975288856,122/0.0011532944576993218,265/0.002118679135976165,
1266/0.0016179006975288856,1792/0.001146086367338701,1050/0.002118679135976165,
598/0.0016179006975288856,137/0.001146086367338701,362/0.001969709509227841,
2659/0.0016179006975288856,1186/0.001146086367338701,2132/0.001969709509227841,
2007/0.0016179006975288856,242/0.001146086367338701,2174/0.001953157328478027,
1436/0.0016179006975288856,1767/0.0011388782769780803,909/0.0019200529669783995,
1419/0.0016026374834012546,293/0.0011388782769780803,2287/0.0018207398824795166,
511/0.0016026374834012546,124/0.0011388782769780803,697/0.0016883224364810064,
212/0.0016026374834012546,2144/0.0011388782769780803,2069/0.0016883224364810064,
1592/0.0016026374834012546,1226/0.0011388782769780803,63/0.0016552180749813787,
2447/0.0016026374834012546,22/0.0011388782769780803,2351/0.0015890093519821237,
769/0.0016026374834012546,2217/0.0011316701866174595,479/0.0015393528097326823,
2670/0.0016026374834012546,1662/0.0011244620962568388,220/0.0015393528097326823,
367/0.0016026374834012546,2165/0.0011244620962568388,960/0.0015228006289828685,
2341/0.0016026374834012546,1881/0.0011244620962568388,1671/0.0015062484482330548,
238/0.0015873742692736237,2629/0.0011244620962568388,2472/0.0014565919059836134,
925/0.0015873742692736237,113/0.001117254005896218,2550/0.001406935363734172,
1686/0.0015873742692736237,835/0.0011100459155355972,650/0.001406935363734172,
618/0.0015873742692736237,711/0.0011100459155355972,502/0.001406935363734172,
695/0.0015873742692736237,2089/0.0011100459155355972,1877/0.001406935363734172,
1490/0.0015721110551459925,72/0.0011100459155355972,1628/0.0013572788214847307,
1035/0.0015721110551459925,1333/0.0011028378251749765,2197/0.001324174459985103,
138/0.0015721110551459925,2597/0.0011028378251749765,313/0.0012745179177356617,
1368/0.0015721110551459925,1289/0.0011028378251749765,1844/0.0012745179177356617,
1335/0.0015721110551459925,504/0.0010956297348143557,1008/0.001158652652486965,
2382/0.0015721110551459925,1068/0.0010956297348143557,1113/0.001158652652486965,
2206/0.0015568478410183616,2271/0.0010956297348143557,2449/0.0011089961102375239,
884/0.0015568478410183616,197/0.0010956297348143557,1966/0.0011089961102375239,
830/0.0015568478410183616,336/0.001088421644453735,1791/0.0011089961102375239,
552/0.0015415846268907307,1750/0.001088421644453735,2396/0.0010758917487378962,
1525/0.0015415846268907307,1765/0.0010812135540931142,365/0.0010593395679880824,
2586/0.0015415846268907307,215/0.0010812135540931142,1112/0.0010593395679880824,
829/0.0015415846268907307,572/0.0010812135540931142,1394/0.001009683025738641,
568/0.0015415846268907307,338/0.0010812135540931142,1121/0.0008276090374906894,
929/0.0015415846268907307,2084/0.0010812135540931142,2198/0.0006124306877431101,
1593/0.0015263214127630997,996/0.0010812135540931142,2366/0.000546221964743855,
2340/0.0015263214127630997,1190/0.0010740054637324934,,
222/0.0015110581986354686,1051/0.0010740054637324934,,
1748/0.0015110581986354686,2061/0.0010667973733718727,,
1927/0.0015110581986354686,803/0.0010667973733718727,,
1620/0.0015110581986354686,458/0.0010667973733718727,,
357/0.0014957949845078376,1402/0.0010667973733718727,,
1946/0.0014957949845078376,2514/0.0010667973733718727,,
2392/0.0014957949845078376,373/0.0010667973733718727,,
639/0.0014957949845078376,287/0.0010667973733718727,,
1492/0.0014957949845078376,1465/0.001059589283011252,,
1734/0.0014805317703802067,1601/0.001059589283011252,,
332/0.0014805317703802067,41/0.001059589283011252,,
1056/0.0014805317703802067,505/0.0010523811926506311,,
495/0.0014652685562525757,1921/0.0010523811926506311,,
1611/0.0014652685562525757,480/0.0010523811926506311,,
2441/0.0014652685562525757,850/0.0010523811926506311,,
1212/0.0014652685562525757,2391/0.0010523811926506311,,
1926/0.0014652685562525757,2080/0.0010523811926506311,,
638/0.0014500053421249446,2578/0.0010523811926506311,,
1854/0.0014500053421249446,2274/0.0010523811926506311,,
1862/0.0014500053421249446,788/0.0010451731022900104,,
2000/0.0014347421279973136,2591/0.0010451731022900104,,
934/0.0014347421279973136,942/0.0010379650119293896,,
787/0.0014194789138696827,2367/0.0010379650119293896,,
2448/0.0014194789138696827,360/0.0010379650119293896,,
104/0.0014194789138696827,2075/0.0010379650119293896,,
1223/0.0014194789138696827,1213/0.0010379650119293896,,
47/0.0014194789138696827,289/0.0010379650119293896,,
1446/0.0014042156997420517,2378/0.0010379650119293896,,
2058/0.0014042156997420517,860/0.0010379650119293896,,
1555/0.0014042156997420517,1489/0.0010307569215687689,,
1482/0.0014042156997420517,1898/0.0010307569215687689,,
1667/0.0013889524856144208,2635/0.0010307569215687689,,
833/0.0013889524856144208,2504/0.001023548831208148,,
1372/0.0013736892714867896,1220/0.001023548831208148,,
83/0.0013736892714867896,385/0.0010163407408475273,,
816/0.0013736892714867896,459/0.0010163407408475273,,
2511/0.0013736892714867896,808/0.0010163407408475273,,
1456/0.0013736892714867896,1616/0.0010163407408475273,,
644/0.0013584260573591587,1896/0.0010163407408475273,,
1540/0.0013584260573591587,1059/0.0010091326504869066,,
441/0.0013584260573591587,689/0.0010091326504869066,,
1284/0.0013584260573591587,1046/0.0010091326504869066,,
2651/0.0013584260573591587,608/0.0010091326504869066,,
1999/0.0013584260573591587,1517/0.0010091326504869066,,
914/0.0013584260573591587,2242/0.0010019245601262858,,
1138/0.0013431628432315277,2505/0.0010019245601262858,,
71/0.0013431628432315277,366/0.000994716469765665,,
673/0.0013278996291038968,464/0.000994716469765665,,
1441/0.0013278996291038968,2570/0.000994716469765665,,
1418/0.0013278996291038968,417/0.000994716469765665,,
347/0.0013278996291038968,1123/0.0009875083794050443,,
2601/0.0013278996291038968,1708/0.0009803002890444235,,
2432/0.0013278996291038968,1175/0.0009803002890444235,,
241/0.0013126364149762656,570/0.0009803002890444235,,
2233/0.0013126364149762656,688/0.0009803002890444235,,
1361/0.0013126364149762656,1603/0.0009803002890444235,,
2566/0.0013126364149762656,2631/0.0009803002890444235,,
1944/0.0013126364149762656,1487/0.0009803002890444235,,
1809/0.0013126364149762656,283/0.0009730921986838028,,
2316/0.0013126364149762656,368/0.0009730921986838028,,
291/0.0012973732008486347,1082/0.0009730921986838028,,
1940/0.0012973732008486347,1642/0.0009730921986838028,,
1856/0.0012973732008486347,17/0.0009730921986838028,,
142/0.0012973732008486347,1210/0.0009730921986838028,,
2086/0.0012973732008486347,1233/0.0009730921986838028,,
84/0.0012821099867210038,249/0.000965884108323182,,
1949/0.0012668467725933728,767/0.000965884108323182,,
307/0.0012668467725933728,2553/0.000965884108323182,,
2444/0.0012668467725933728,2302/0.000965884108323182,,
2537/0.0012668467725933728,677/0.0009586760179625612,,
2138/0.0012668467725933728,255/0.0009586760179625612,,
2017/0.0012515835584657417,446/0.0009586760179625612,,
1799/0.0012515835584657417,129/0.0009586760179625612,,
156/0.0012515835584657417,1286/0.0009514679276019405,,
2044/0.0012363203443381107,477/0.0009442598372413197,,
1904/0.0012363203443381107,1322/0.0009442598372413197,,
1659/0.0012363203443381107,1646/0.0009442598372413197,,
1135/0.0012363203443381107,845/0.0009442598372413197,,
